	ALL	wh.20	wh.30	wh.40	wh.50	wh.60	wh.70	wh.80	wh.90	wh.100
N	18217120	587933	3051694	3299895	3188474	2622653	2451157	1512162	702322	83968
mean.all	5.85	5.86	7.13	6.93	6.25	5.52	4.67	4.075	3.67	3.71
sd.all	7.23	8.89	9.4	8.32	7.66	6.71	5.19	4.23	3.71	4.03
N.with.0.all.purch	0	0	0	0	0	0	0	0	0	0
mean.pain	0.33	0.1987	0.229	0.277	0.337	0.374	0.389	0.4	0.42	0.4105
sd.pain	0.847	0.581	0.648	0.773	0.875	0.92	0.942	0.914	0.905	0.872
N.with.0.pain.purch	10252355	488068	1929194	1809739	1637040	1334920	1277299	837854	426314	56809
mean.gav	0.213	0.149	0.153	0.173	0.197	0.222	0.248	0.274	0.305	0.318
sd.gav	0.646	0.52	0.537	0.596	0.636	0.673	0.694	0.704	0.72	0.714
N.with.0.gav.purch	12042075	540198	2324655	2241363	2063172	1601738	1406626	866261	426858	57044
