	ALL	wh.20	wh.30	wh.40	wh.50	wh.60	wh.70	wh.80	wh.90	wh.100
N	18217120	587933	3051694	3299895	3188474	2622653	2451157	1512162	702322	83968
mean.pain.med	0.07	0.033	0.0352	0.0431	0.0578	0.0718	0.0836	0.0956	0.1091	0.10865
sd.pain.med	0.182	0.122	0.118	0.132	0.159	0.1835	0.2025	0.2191	0.2343	0.2324
N.with.0.pain.purch	7964765	488068	1929194	1809739	1637040	1334920	1277299	837854	426314	56809
mean.gav.med	0.038	0.0265	0.0247	0.0282	0.0351	0.044	0.0556	0.0692	0.0854	0.0922
sd.gav.med	0.1405	0.113	0.104	0.111	0.128	0.1472	0.1682	0.1906	0.2133	0.2208
N.with.0.gav.purch	12042075	540198	2324655	22413663	2063172	1601738	1406626	866261	426858	57044
mean.pg.med	0.088	0.0423	0.0467	0.0576	0.0764	0.0957	0.1138	0.1333	0.1553	0.1568
sd.pg.med	0.207	0.155	0.1545	0.172	0.2059	0.237	0.262	0.285	0.3068	0.3054
N.with.0.pg.purch	8873377	475362	1778035	1607611	1432306	125446	1017063	652019	336476	46927
